bootstrap_draw,raw_D1_prior_testing_treatment,raw_D2_prior_utilization,raw_D3_triage_urgency_pain,raw_D4_patient_vulnerability,raw_D5_respiratory_status,raw_D6_prior_medication_device,raw_D7_circulatory_status,raw_D8_arrival_mode,raw_D9_thermal_inflammatory,raw_D10_consciousness_neurologic,weight_D1_prior_testing_treatment,weight_D2_prior_utilization,weight_D3_triage_urgency_pain,weight_D4_patient_vulnerability,weight_D5_respiratory_status,weight_D6_prior_medication_device,weight_D7_circulatory_status,weight_D8_arrival_mode,weight_D9_thermal_inflammatory,weight_D10_consciousness_neurologic
21,0.0048853162127997759,0.00074620041102959483,0.025037359314974337,0.040211412662286693,0.0024658359657888243,1.5483512002028974e-05,0.0047526208014022362,0.017069414302204846,0.0026577928240597844,0.00024732609964962446,0.049805055216321219,0.0076073996144604833,0.25525206738634482,0.40994923168416586,0.025138822356827562,0.0001578520481812732,0.048452245694126678,0.17402008074813202,0.027095793309964214,0.0025214519414757412
22,0.0046599048566189644,0.0005049286895833805,0.026206164006844192,0.038856167493059458,0.0026340729228619274,2.1369727283622735e-05,0.0050617939970570786,0.016891592185617949,0.0024150846014755595,0.00033934587953374673,0.047749611574924265,0.005173957310822706,0.26853212473172416,0.39815553367970818,0.026991100204123125,0.00021897360754172233,0.051867732210980261,0.17308657377406089,0.024747147246416037,0.003477245659698756
23,0.0044831959360643516,0.0004471522126017907,0.024770260282941714,0.038595786713147451,0.0023748047751101756,1.5253932831169086e-05,0.0045199844458147483,0.015809432891801617,0.0023642623406560977,0.00030525480582229293,0.047853737019775432,0.004772913050157989,0.26439833065423857,0.41197231925216254,0.025348721046797015,0.0001628208315295917,0.04824641842296442,0.16875025201334476,0.02523619085781836,0.0032582968512114888
24,0.0052042864397754511,0.00067893182724813612,0.024816469187186909,0.039812161182586951,0.0026055220685954296,2.8082821851717333e-05,0.0050886660313865101,0.017034930726731581,0.0023369370565524089,0.00032309627831377083,0.053143420191266041,0.0069328926826380671,0.25341265607493807,0.40654073040221006,0.026606213111313295,0.00028676692166979863,0.0519627657409771,0.17395170154755471,0.02386356504279262,0.0032992882846401921
25,0.0051827426422448551,0.00071143584743000319,0.024856377672229851,0.039336531859571235,0.0027878068951902911,7.7785627548320436e-06,0.0047283106496258942,0.016487813895460481,0.0022858837613737668,0.00022466778510437442,0.053646387904068595,0.0073640475853453714,0.25728749632007564,0.40717106609508807,0.028856491711932046,8.051563114102735e-05,0.048942578235160121,0.17066478522708345,0.023661102900751546,0.0023255283893542358
26,0.0051018355467690119,0.00056620845069284254,0.025064248252607054,0.040865429332647765,0.002685037175257875,2.2193450695231318e-05,0.0047894724835475843,0.016615555571101965,0.0026816335677985925,0.00027683067946798978,0.051706861013924743,0.0057384957622606007,0.25402496590404816,0.4141691858562076,0.027212724276501628,0.00022492956897531948,0.048541076200240826,0.1683978667497826,0.027178228876516709,0.0028056657915417858
27,0.00530556571120438,0.00055152201150818637,0.024950108010097914,0.039762407568957513,0.0026805360327222228,2.409340710141489e-05,0.0050034343574121036,0.017634957185127295,0.0024400627457814134,0.00031472617252574183,0.053772218597834626,0.0055897078235609158,0.2528708030371406,0.40299432485755021,0.027167389371225387,0.00024418808925274951,0.050710099667318154,0.17873132184934504,0.024730178552214408,0.0031897681545578877
28,0.0048296357284658645,0.00058626232767268764,0.026216272655763425,0.039636195029536234,0.0026448007324303938,4.650638311122641e-05,0.004809357103527632,0.016787792317261869,0.002389390416685453,0.00038519236988332814,0.04911590275055909,0.0059621066869643214,0.26661139072110429,0.40308785381030932,0.026896806068212938,0.00047295554335664521,0.048909675402084164,0.17072665956799496,0.024299362092121819,0.0039172873572923851
29,0.0048543609945841618,0.00048085476022206224,0.024793442226195516,0.039940615810663209,0.0024866574959365559,1.7357199946858302e-05,0.0048739039035491484,0.017168950037304103,0.002399104223089183,0.00034302826147368591,0.049860795078012859,0.0049390230121880516,0.25466188927813427,0.41024366800222151,0.025541306048813588,0.00017828171218496985,0.05006152695193377,0.17634813324961493,0.024642016564425714,0.0035233601024704207
30,0.0051069545010695482,0.00063468678605333188,0.024732015057984183,0.040369135969581249,0.0025567032146949728,2.2898512600386701e-05,0.0049560251748597007,0.017038735377272327,0.002457851483372579,0.00030621853175608624,0.052015591793593267,0.0064644415322720698,0.25190167627686644,0.41116961140226244,0.026040653137812293,0.00023322700130825897,0.050478339362585833,0.17354372432290915,0.025033823861483565,0.0031189113089067529
31,0.0048003528123525445,0.00069497946234784152,0.025090109249100705,0.040268451625651631,0.0025391389319809336,2.8694182091660381e-05,0.0045973728978638316,0.016609653481139335,0.0024640461694331829,0.00021873951814731164,0.049329739255260303,0.0071417991563371393,0.25783282927855655,0.4138096295328243,0.026092886573917239,0.00029486926816757729,0.047243862102644071,0.17068534488474091,0.025321212794668018,0.0022478271528837998
32,0.0049623233646803331,0.00068902559800561672,0.024766249449014698,0.039682780369694588,0.0024677065760131912,1.0396936853575945e-05,0.004606738997863691,0.01650515923116316,0.0025675402583789204,0.00028337830455732796,0.051401041954576079,0.0071371071709965183,0.25653528265550807,0.41104460728513947,0.025561149470437295,0.00010769418841453545,0.047717806176911071,0.17096475174237824,0.026595252836671922,0.0029353065189668816
33,0.0048210577093607977,0.00051600713288626424,0.025974724666126481,0.039098913170188494,0.0024591140701169158,2.0664516441682083e-05,0.0046041918770116687,0.016245737913903647,0.0023999973145394258,0.00032986684396725654,0.049974540848350721,0.0053488717818903613,0.26925106835614021,0.40529492720151827,0.025490899291497105,0.0002142060483991131,0.047726534072513961,0.16840148820737111,0.024878101666052182,0.0034193625262668474
34,0.0051458803686546834,0.00056763524982315547,0.02555529328975693,0.040128019305464419,0.0025133336188856914,2.7186289122421564e-05,0.0050384858191442998,0.017099639537436543,0.0025944651099487539,0.00031553015497945024,0.051986220139078138,0.0057345311087599058,0.25817217026118572,0.4053930320778974,0.02539093516246984,0.00027464929416000453,0.050901267459922961,0.17274898785190035,0.026210565478850218,0.0031876411657753962
35,0.0047962049627162575,0.00067294028119180456,0.025776070239152075,0.039261687972048688,0.0030714952087509415,1.3112073053074966e-05,0.0047912800143890535,0.017203009467556065,0.0024690167397009338,0.00024439044909172885,0.048791898624637023,0.0068458362883954413,0.26222052973690535,0.39941001568027856,0.031246388345872737,0.00013338940769581887,0.048741797016932494,0.17500659386005543,0.025117361622884971,0.0024861894163422109
36,0.0049741643053948792,0.00063787464523917272,0.025855634805065267,0.039406565547689433,0.0026001128897939758,2.5351789122346984e-05,0.0050437092194113757,0.017613877982251856,0.0022649862299809094,0.00035106514507398886,0.050359380137636897,0.0064579635427241206,0.26176733656264511,0.3989595221417313,0.026324034627462835,0.00025666630758392845,0.051063465999416247,0.17832623181428195,0.02293114894463999,0.0035542499218775107
37,0.0047148685864304664,0.00056768166756677378,0.025192048665684072,0.039479973111808953,0.0027358277074358592,1.8560492846573016e-05,0.0048294637520936079,0.016383679680357831,0.0024298692104313836,0.00026206166231604154,0.048801073353646307,0.0058757681561216399,0.26074937027957118,0.40863600512098525,0.028317083750279911,0.00019210969643825839,0.049987186387972483,0.16957867207261948,0.025150271615057531,0.0027124595673080776
