panel,alternative_id,criterion_id,u0,u_lower,u_upper,interval_width,m_L,m_B,m_Neg,boundary_discordance,rho,ignorance_mass,epsilon_n,epsilon_p,config_threshold,config_target_mode,config_median_band_radius,config_epsilon_multiplier,config_nu,config_t2nn_weight,config_boundary_metric,config_rho_power,config_equal_spacing,p0_VWI,singleton_VWI,p0_PI,singleton_PI,p0_EI,singleton_EI,p0_SI,singleton_SI,p0_VSI,singleton_VSI,p0_AI,singleton_AI
A,A3,D3,0.52404132732681363,0.51149397221746307,0.53632081291760192,0.024826840700138852,0.10000000000000001,0.90000000000000002,0,0.027585378555709861,0.027585378555709861,0.024826840700138877,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.15457216382527789,0.15030823217198241,0.74542783617472219,0.72486492712787887,0.10000000000000001,0.10000000000000001,0,0
A,A3,D4,0.41509877141896445,0.39291034868662761,0.44636370547804471,0.053453356791417106,0,1,0,0.053453356791417134,0.053453356791417134,0.053453356791417134,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.50219173012634299,0.47534789639820052,0.49780826987365695,0.47119874681038226,0,0,0,0
A,A3,D5,0.41509877141896445,0.39291034868662761,0.44636370547804471,0.053453356791417106,0,1,0,0.053453356791417134,0.053453356791417134,0.053453356791417134,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.50219173012634299,0.47534789639820052,0.49780826987365695,0.47119874681038226,0,0,0,0
A,A3,D6,0.56506597807995917,0.55393905772792407,0.57709426970179578,0.023155211973871714,0.40000000000000002,0.59999999999999998,0,0.038592019956452887,0.038592019956452887,0.023155211973871732,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.1576308887286603,0.15154759432509043,0.44236911127133971,0.42529719370103786,0.40000000000000002,0.40000000000000002,0,0
A,A3,D7,0.38738223557929258,0.36697825233951886,0.41964970024228987,0.052671447902771007,0,1,0,0.052671447902771035,0.052671447902771035,0.052671447902771035,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.6036224570289721,0.57182878823062799,0.3963775429710279,0.375499763866601,0,0,0,0
A,A3,D8,0.55148567045053065,0.53974222881507083,0.56364380227427169,0.023901573459200853,0.30000000000000004,0.69999999999999996,0,0.034145104941715583,0.034145104941715583,0.023901573459200905,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.15626520601082397,0.15092951415284556,0.54373479398917601,0.52516891238795349,0.30000000000000004,0.30000000000000004,0,0
A,A3,D9,0.23934237418036897,0.23109221913874545,0.25421220001742789,0.023119980878682445,0,0.5,0.5,0.04623996175736491,0.04623996175736491,0.023119980878682455,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0.080857199861729109,0.080857199861729109,0.41914280013827088,0.41914280013827088,0.35769535413687892,0.34115553464080256,0.14230464586312111,0.13572448448051502,0,0,0,0
A,A3,D10,0.29403216126773579,0.28450610181253011,0.31326809876660627,0.028761996954076163,0,0.80000000000000004,0.20000000000000001,0.03595249619259519,0.03595249619259519,0.028761996954076153,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.20000000000000001,0.20000000000000001,0.64737166514786071,0.62409703782143822,0.15262833485213934,0.14714096522448564,0,0,0,0
A,A4,D1,0.56506597807995917,0.55393905772792407,0.57709426970179578,0.023155211973871714,0.40000000000000002,0.59999999999999998,0,0.038592019956452887,0.038592019956452887,0.023155211973871732,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.1576308887286603,0.15154759432509043,0.44236911127133971,0.42529719370103786,0.40000000000000002,0.40000000000000002,0,0
A,A4,D2,0.60105084473894654,0.59463874238319936,0.60720554814016203,0.012566805756962673,0.5,0.5,0,0.02513361151392534,0.02513361151392534,0.01256680575696267,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.077005419253217258,0.07506999496123995,0.42299458074678276,0.41236319928179738,0.49999999999999989,0.49999999999999989,1.25685625429263e-16,1.25685625429263e-16
